year,trans_type,ttwa_cd,cluster
2011,Rent,S22000059,ns
2011,Rent,S22000060,ns
2011,Rent,S22000061,ns
2011,Rent,S22000063,ns
2011,Rent,S22000065,HH
2011,Rent,S22000068,ns
2011,Rent,S22000069,HH
2011,Rent,S22000070,ns
2011,Rent,S22000071,ns
2011,Rent,S22000074,ns
2011,Rent,S22000085,ns
2011,Rent,W22000003,ns
2011,Rent,W22000009,ns
2011,Rent,W22000015,ns
2011,Rent,W22000021,ns
2011,Rent,W22000022,ns
2011,Rent,W22000024,ns
2011,Rent,W22000026,HH
2011,Rent,W22000028,ns
2011,Rent,W22000029,ns
2011,Rent,W22000031,ns
2011,Rent,W22000032,ns
2011,Rent,W22000034,ns
2011,Sale,E30000004,ns
2011,Sale,E30000018,ns
2011,Sale,E30000029,ns
2011,Sale,E30000046,ns
2011,Sale,E30000054,ns
2011,Sale,E30000061,ns
2011,Sale,E30000070,ns
2011,Sale,E30000076,HL
2011,Sale,E30000093,LL
2011,Sale,E30000108,ns
2011,Sale,E30000124,ns
2011,Sale,E30000135,ns
2011,Sale,E30000159,ns
2011,Sale,E30000160,LL
2011,Sale,E30000162,ns
2011,Sale,E30000164,ns
2011,Sale,E30000165,ns
2011,Sale,E30000166,ns
2011,Sale,E30000167,ns
2011,Sale,E30000168,ns
2011,Sale,E30000169,ns
2011,Sale,E30000170,ns
2011,Sale,E30000171,ns
2011,Sale,E30000173,ns
2011,Sale,E30000174,HH
2011,Sale,E30000175,ns
2011,Sale,E30000179,ns
2011,Sale,E30000180,ns
2011,Sale,E30000182,ns
2011,Sale,E30000183,ns
2011,Sale,E30000184,ns
2011,Sale,E30000186,ns
2011,Sale,E30000187,ns
2011,Sale,E30000188,ns
2011,Sale,E30000189,ns
2011,Sale,E30000190,ns
2011,Sale,E30000191,ns
2011,Sale,E30000192,ns
2011,Sale,E30000193,ns
2011,Sale,E30000195,ns
2011,Sale,E30000196,ns
2011,Sale,E30000197,ns
2011,Sale,E30000198,HH
2011,Sale,E30000199,LL
2011,Sale,E30000200,ns
2011,Sale,E30000201,ns
2011,Sale,E30000202,ns
2011,Sale,E30000203,LL
2011,Sale,E30000204,ns
2011,Sale,E30000205,ns
2011,Sale,E30000206,ns
2011,Sale,E30000208,ns
2011,Sale,E30000209,ns
2011,Sale,E30000210,ns
2011,Sale,E30000211,ns
2011,Sale,E30000212,ns
2011,Sale,E30000215,LL
2011,Sale,E30000216,ns
2011,Sale,E30000218,ns
2011,Sale,E30000219,ns
2011,Sale,E30000220,ns
2011,Sale,E30000221,ns
2011,Sale,E30000222,ns
2011,Sale,E30000224,ns
2011,Sale,E30000225,HH
2011,Sale,E30000226,ns
2011,Sale,E30000228,ns
2011,Sale,E30000229,ns
2011,Sale,E30000230,ns
