year,trans_type,ttwa_cd,theta
2010,Sale,E30000209,1.195
2010,Sale,E30000210,3.352
2010,Sale,E30000211,1.247
2010,Sale,E30000212,1.36
2010,Sale,E30000215,0.793
2010,Sale,E30000216,2.272
2010,Sale,E30000218,1.443
2010,Sale,E30000219,1.801
2010,Sale,E30000220,1.272
2010,Sale,E30000221,1.234
2010,Sale,E30000222,1.943
2010,Sale,E30000224,1.406
2010,Sale,E30000225,3.382
2010,Sale,E30000226,1.447
2010,Sale,E30000228,2.54
2010,Sale,E30000229,1.542
2010,Sale,E30000230,1.807
2010,Sale,E30000231,2.322
2010,Sale,E30000233,1.172
2010,Sale,E30000234,1.507
2010,Sale,E30000237,1.417
2010,Sale,E30000239,1.395
2010,Sale,E30000240,1.562
2010,Sale,E30000241,1.2
2010,Sale,E30000242,1.294
2010,Sale,E30000243,1.599
2010,Sale,E30000244,1.787
2010,Sale,E30000245,0.971
2010,Sale,E30000247,1.341
2010,Sale,E30000248,2.346
2010,Sale,E30000249,2.039
2010,Sale,E30000250,1.799
2010,Sale,E30000253,1.685
2010,Sale,E30000254,1.784
2010,Sale,E30000255,1.291
2010,Sale,E30000256,1.507
2010,Sale,E30000257,2.807
2010,Sale,E30000260,1.149
2010,Sale,E30000261,1.329
2010,Sale,E30000262,2.06
2010,Sale,E30000264,3.515
2010,Sale,E30000266,1.557
2010,Sale,E30000267,1.68
2010,Sale,E30000268,1.625
2010,Sale,E30000271,1.965
2010,Sale,E30000272,1.52
2010,Sale,E30000273,1.227
2010,Sale,E30000275,1.182
2010,Sale,E30000276,1.481
2010,Sale,E30000278,1.541
2010,Sale,E30000279,2.192
2010,Sale,E30000280,2.145
2010,Sale,E30000281,1.483
2010,Sale,E30000283,1.375
2010,Sale,E30000284,1.35
2010,Sale,E30000285,1.21
2010,Sale,E30000287,2.409
2010,Sale,E30000288,1.577
2010,Sale,E30000289,2.267
2010,Sale,E30000291,1.679
2010,Sale,E30000292,1.369
2010,Sale,E30000294,1.931
2010,Sale,K01000005,2.03
2010,Sale,K01000011,2.203
2010,Sale,K01000013,1.519
2010,Sale,S22000047,0.892
2010,Sale,S22000051,1.582
2010,Sale,S22000054,1.771
2010,Sale,S22000055,1.496
2010,Sale,S22000056,0.877
2010,Sale,S22000057,1.252
2010,Sale,S22000059,1.008
2010,Sale,S22000060,1.439
2010,Sale,S22000061,1.771
2010,Sale,S22000063,1.669
2010,Sale,S22000065,2.027
2010,Sale,S22000068,2.929
2010,Sale,S22000069,1.844
2010,Sale,S22000070,1.269
2010,Sale,S22000071,1.697
2010,Sale,S22000074,1.401
2010,Sale,S22000085,1.317
2010,Sale,W22000003,0.758
2010,Sale,W22000009,1.355
2010,Sale,W22000015,2.076
2010,Sale,W22000021,1.666
2010,Sale,W22000022,2.665
2010,Sale,W22000024,1.232
2010,Sale,W22000026,2.033
2010,Sale,W22000028,1.139
2010,Sale,W22000029,1.052
2010,Sale,W22000031,2.637
2010,Sale,W22000032,0.679
2010,Sale,W22000034,2.151
2011,Rent,E30000004,2.272
2011,Rent,E30000018,1.451
2011,Rent,E30000029,1.809
2011,Rent,E30000046,1.331
2011,Rent,E30000054,1.408
2011,Rent,E30000061,0.756
2011,Rent,E30000070,1.283
2011,Rent,E30000076,2.78
2011,Rent,E30000093,2.648
2011,Rent,E30000108,1.172
2011,Rent,E30000124,1.031
2011,Rent,E30000135,1.419
2011,Rent,E30000159,1.123
2011,Rent,E30000160,1.35
2011,Rent,E30000162,0.834
2011,Rent,E30000164,1.354
2011,Rent,E30000165,1.074
2011,Rent,E30000166,1.067
2011,Rent,E30000167,1.105
2011,Rent,E30000168,1.891
2011,Rent,E30000169,1.277
