unit_cd,unit_nm,year,tenure,beta,se,flow
E30000170,Blackburn,2022,Sale,-1.742,0.146,13485
E30000171,Blackpool,2022,Sale,-1.631,0.155,13193
E30000173,Blyth and Ashington,2022,Sale,-1.689,0.186,10203
E30000174,Boston,2022,Sale,-1.026,0.198,5489
E30000175,Bournemouth,2022,Sale,-0.888,0.146,19860
E30000179,Brighton,2022,Sale,-1.111,0.145,28281
E30000180,Bristol,2022,Sale,-1.603,0.151,54219
E30000182,Burnley,2022,Sale,-1.469,0.171,7823
E30000183,Burton upon Trent,2022,Sale,-1.454,0.175,12854
E30000184,Bury St Edmunds,2022,Sale,-1.039,0.152,12217
E30000186,Cambridge,2022,Sale,-1.325,0.116,54636
E30000187,Canterbury,2022,Sale,-0.978,0.134,7900
E30000188,Chelmsford,2022,Sale,-1.101,0.132,38294
E30000189,Cheltenham,2022,Sale,-1.26,0.164,11564
E30000190,Chesterfield,2022,Sale,-1.389,0.181,10296
E30000191,Chichester and Bognor Regis,2022,Sale,-1.012,0.123,14462
E30000192,Clacton,2022,Sale,-1.007,0.14,8202
E30000193,Colchester,2022,Sale,-0.993,0.148,14472
E30000195,Coventry,2022,Sale,-1.173,0.146,34531
E30000196,Crawley,2022,Sale,-1.182,0.104,55362
E30000197,Crewe,2022,Sale,-1.355,0.155,30757
E30000198,Cromer and Sheringham,2022,Sale,-1.394,0.181,7255
E30000199,Darlington,2022,Sale,-1.353,0.204,3977
E30000200,Derby,2022,Sale,-1.39,0.164,25920
E30000201,Doncaster,2022,Sale,-1.56,0.17,11763
E30000202,Dudley,2022,Sale,-1.63,0.172,49823
E30000203,Durham and Bishop Auckland,2022,Sale,-1.832,0.176,15262
E30000204,Eastbourne,2022,Sale,-0.901,0.122,16883
E30000205,Evesham,2022,Sale,-1.08,0.175,9617
E30000206,Exeter,2022,Sale,-1.395,0.148,18425
E30000208,Folkestone and Dover,2022,Sale,-0.787,0.143,5819
E30000209,Gloucester,2022,Sale,-1.323,0.155,15665
E30000210,Great Yarmouth,2022,Sale,-1.505,0.182,4496
E30000211,Grimsby,2022,Sale,-1.394,0.177,3095
E30000212,Guildford and Aldershot,2022,Sale,-1.169,0.122,55777
E30000214,Harrogate,2022,Sale,-1.675,0.144,28002
E30000215,Hartlepool,2022,Sale,-1.127,0.192,1688
E30000216,Hereford,2022,Sale,-1.428,0.162,9449
E30000218,High Wycombe and Aylesbury,2022,Sale,-1.089,0.115,48301
E30000219,Huddersfield,2022,Sale,-1.791,0.149,25538
E30000220,Hull,2022,Sale,-1.584,0.174,12248
E30000221,Huntingdon,2022,Sale,-1.198,0.158,12826
E30000222,Ipswich,2022,Sale,-1.165,0.123,20331
E30000224,Kettering and Wellingborough,2022,Sale,-1.159,0.151,18603
E30000225,King's Lynn,2022,Sale,-1.406,0.144,8613
E30000226,Kingsbridge and Dartmouth,2022,Sale,-1.734,0.162,6805
E30000228,Leamington Spa,2022,Sale,-1.038,0.15,25884
E30000229,Leeds,2022,Sale,-1.908,0.162,52271
E30000230,Leicester,2022,Sale,-1.233,0.137,48245
E30000231,Lincoln,2022,Sale,-1.295,0.144,20918
E30000233,Liverpool,2022,Sale,-1.676,0.165,31411
E30000234,London,2022,Sale,-1.525,0.134,730865
E30000237,Luton,2022,Sale,-1.295,0.12,78169
E30000239,Manchester,2022,Sale,-1.671,0.149,139812
E30000240,Mansfield,2022,Sale,-1.387,0.163,14659
E30000241,Margate and Ramsgate,2022,Sale,-0.559,0.129,9554
E30000242,Medway,2022,Sale,-0.944,0.101,34702
E30000243,Milton Keynes,2022,Sale,-1.102,0.136,30352
E30000244,Newbury,2022,Sale,-1.275,0.148,18667
E30000245,Newcastle,2022,Sale,-1.907,0.183,23226
E30000247,Northampton,2022,Sale,-1.2,0.139,29488
E30000248,Norwich,2022,Sale,-1.063,0.156,19476
E30000249,Nottingham,2022,Sale,-1.291,0.16,43788
E30000250,Oxford,2022,Sale,-1.017,0.128,47894
E30000253,Plymouth,2022,Sale,-1.458,0.173,9950
E30000254,Portsmouth,2022,Sale,-0.963,0.126,31970
E30000255,Preston,2022,Sale,-1.736,0.154,16081
E30000256,Reading,2022,Sale,-1.206,0.127,53307
E30000257,Redruth and Truro,2022,Sale,-0.912,0.189,15509
E30000260,Scunthorpe,2022,Sale,-1.613,0.178,6514
E30000261,Sheffield,2022,Sale,-1.495,0.145,32832
E30000262,Shrewsbury,2022,Sale,-1.544,0.168,16667
E30000264,Skegness and Louth,2022,Sale,-1.342,0.15,6442
E30000266,Slough and Heathrow,2022,Sale,-1.464,0.126,204272
E30000267,Southampton,2022,Sale,-1.092,0.129,36189
E30000268,Southend,2022,Sale,-0.925,0.124,34300
E30000271,Stafford,2022,Sale,-1.212,0.173,8219
E30000272,Stevenage and Welwyn Garden City,2022,Sale,-1.082,0.137,30710
E30000273,Stoke-on-Trent,2022,Sale,-1.368,0.17,15086
E30000275,Sunderland,2022,Sale,-1.762,0.182,9211
E30000276,Swindon,2022,Sale,-1.264,0.145,21443
E30000278,Telford,2022,Sale,-1.354,0.166,7257
E30000279,Torquay and Paignton,2022,Sale,-1.232,0.162,6332
E30000280,Trowbridge,2022,Sale,-1.365,0.127,30517
E30000281,Tunbridge Wells,2022,Sale,-1.088,0.12,22654
E30000283,Wakefield and Castleford,2022,Sale,-1.642,0.162,17444
E30000284,Warrington and Wigan,2022,Sale,-1.747,0.158,42778
E30000285,Weston-super-Mare,2022,Sale,-1.526,0.161,14603
E30000287,Wisbech,2022,Sale,-1.427,0.16,11029
E30000288,Wolverhampton and Walsall,2022,Sale,-1.71,0.149,41811
E30000289,Worcester and Kidderminster,2022,Sale,-1.521,0.176,14658
E30000291,Worksop and Retford,2022,Sale,-1.566,0.18,7185
E30000292,Worthing,2022,Sale,-0.632,0.143,10721
E30000293,Yeovil,2022,Sale,-1.419,0.143,25512
E30000294,York,2022,Sale,-1.473,0.184,14531
K01000005,Cinderford and Ross-on-Wye,2022,Sale,-1.509,0.164,4945
K01000010,Carlisle,2022,Sale,-2.047,0.183,6044
K01000011,Chester,2022,Sale,-1.619,0.162,28826
K01000013,Newport,2022,Sale,-1.694,0.147,17107
S22000013,Western Isles,2022,Sale,-2.005,0.295,1249
S22000035,Orkney Islands,2022,Sale,-1.83,0.269,699
S22000039,Shetland Islands,2022,Sale,-2.85,0.505,567
S22000047,Aberdeen,2022,Sale,-1.963,0.208,10818
S22000051,Ayr,2022,Sale,-1.888,0.215,9236
S22000054,Dumbarton and Helensburgh,2022,Sale,-2.171,0.138,17152
S22000055,Dumfries,2022,Sale,-2.206,0.173,5280
S22000056,Dundee,2022,Sale,-2.131,0.172,5895
S22000057,Dunfermline and Kirkcaldy,2022,Sale,-2.224,0.163,13779
S22000059,Edinburgh,2022,Sale,-2.104,0.194,51710
S22000060,Elgin,2022,Sale,-2.177,0.208,3251
S22000061,Falkirk and Stirling,2022,Sale,-2.271,0.151,20220
S22000063,Galashiels and Peebles,2022,Sale,-1.952,0.167,5038
S22000065,Glasgow,2022,Sale,-2.245,0.163,95524
S22000068,Inverness,2022,Sale,-2.424,0.209,7096
S22000069,Kilmarnock and Irvine,2022,Sale,-2.391,0.142,19740
S22000070,Livingston,2022,Sale,-2.359,0.155,15687
S22000071,Motherwell and Airdrie,2022,Sale,-2.54,0.158,56170
S22000074,Perth,2022,Sale,-2.01,0.175,9775
S22000085,Greenock,2022,Sale,-1.94,0.119,7023
