function,trajectory,period,tenure,index,value,n,exemplars
Manufacturing & post-industrial town,Declining,before,Rent,hhi,0.102,15,Durham and Bishop Auckland; Stoke-on-Trent
Coastal / amenity & retirement,Growing,before,Rent,netflow,-0.0915,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,before,Rent,leaving,0.4548,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,before,Rent,openness,0.6071,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,before,Rent,reach_km,81.9603,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,before,Rent,hhi,0.1687,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Stable,before,Rent,netflow,0.012,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Stable,before,Rent,leaving,0.2931,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Stable,before,Rent,openness,0.4756,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Stable,before,Rent,reach_km,96.2564,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Stable,before,Rent,hhi,0.1166,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Declining,before,Rent,netflow,0.1468,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,before,Rent,leaving,0.2622,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,before,Rent,openness,0.4612,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,before,Rent,reach_km,96.3582,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,before,Rent,hhi,0.1313,4,Brighton; Hastings
Mixed / smaller towns (function unclassified),Growing,before,Rent,netflow,,0,
Mixed / smaller towns (function unclassified),Growing,before,Rent,leaving,,0,
Mixed / smaller towns (function unclassified),Growing,before,Rent,openness,,0,
Mixed / smaller towns (function unclassified),Growing,before,Rent,reach_km,,0,
Mixed / smaller towns (function unclassified),Growing,before,Rent,hhi,,0,
Mixed / smaller towns (function unclassified),Stable,before,Rent,netflow,-0.1115,1,Livingston
Mixed / smaller towns (function unclassified),Stable,before,Rent,leaving,0.5137,1,Livingston
Mixed / smaller towns (function unclassified),Stable,before,Rent,openness,0.6578,1,Livingston
Mixed / smaller towns (function unclassified),Stable,before,Rent,reach_km,106.2991,1,Livingston
Mixed / smaller towns (function unclassified),Stable,before,Rent,hhi,0.1558,1,Livingston
Mixed / smaller towns (function unclassified),Declining,before,Rent,netflow,-0.1847,15,Motherwell and Airdrie; Kilmarnock and Irvine
Mixed / smaller towns (function unclassified),Declining,before,Rent,leaving,0.4496,15,Motherwell and Airdrie; Kilmarnock and Irvine
Mixed / smaller towns (function unclassified),Declining,before,Rent,openness,0.597,15,Motherwell and Airdrie; Kilmarnock and Irvine
Mixed / smaller towns (function unclassified),Declining,before,Rent,reach_km,148.0998,15,Motherwell and Airdrie; Kilmarnock and Irvine
Mixed / smaller towns (function unclassified),Declining,before,Rent,hhi,0.2221,15,Motherwell and Airdrie; Kilmarnock and Irvine
Global financial capital,Growing,during,Rent,netflow,-0.1289,1,London
Global financial capital,Growing,during,Rent,leaving,0.1888,1,London
Global financial capital,Growing,during,Rent,openness,0.2922,1,London
Global financial capital,Growing,during,Rent,reach_km,126.3066,1,London
Global financial capital,Growing,during,Rent,hhi,0.048,1,London
Global financial capital,Stable,during,Rent,netflow,,0,
Global financial capital,Stable,during,Rent,leaving,,0,
Global financial capital,Stable,during,Rent,openness,,0,
Global financial capital,Stable,during,Rent,reach_km,,0,
Global financial capital,Stable,during,Rent,hhi,,0,
Global financial capital,Declining,during,Rent,netflow,,0,
Global financial capital,Declining,during,Rent,leaving,,0,
Global financial capital,Declining,during,Rent,openness,,0,
Global financial capital,Declining,during,Rent,reach_km,,0,
Global financial capital,Declining,during,Rent,hhi,,0,
Devolved/administrative capital,Growing,during,Rent,netflow,0.2232,1,Edinburgh
Devolved/administrative capital,Growing,during,Rent,leaving,0.2622,1,Edinburgh
Devolved/administrative capital,Growing,during,Rent,openness,0.478,1,Edinburgh
Devolved/administrative capital,Growing,during,Rent,reach_km,212.6765,1,Edinburgh
Devolved/administrative capital,Growing,during,Rent,hhi,0.1414,1,Edinburgh
Devolved/administrative capital,Stable,during,Rent,netflow,0.1583,1,Cardiff
Devolved/administrative capital,Stable,during,Rent,leaving,0.2173,1,Cardiff
Devolved/administrative capital,Stable,during,Rent,openness,0.3978,1,Cardiff
Devolved/administrative capital,Stable,during,Rent,reach_km,124.8173,1,Cardiff
Devolved/administrative capital,Stable,during,Rent,hhi,0.0799,1,Cardiff
Devolved/administrative capital,Declining,during,Rent,netflow,,0,
Devolved/administrative capital,Declining,during,Rent,leaving,,0,
Devolved/administrative capital,Declining,during,Rent,openness,,0,
Devolved/administrative capital,Declining,during,Rent,reach_km,,0,
Devolved/administrative capital,Declining,during,Rent,hhi,,0,
Regenerating core city,Growing,during,Rent,netflow,0.1791,3,Manchester; Bristol
Regenerating core city,Growing,during,Rent,leaving,0.2044,3,Manchester; Bristol
Regenerating core city,Growing,during,Rent,openness,0.3943,3,Manchester; Bristol
Regenerating core city,Growing,during,Rent,reach_km,105.6018,3,Manchester; Bristol
Regenerating core city,Growing,during,Rent,hhi,0.0666,3,Manchester; Bristol
Regenerating core city,Stable,during,Rent,netflow,0.1227,6,Birmingham; Liverpool
Regenerating core city,Stable,during,Rent,leaving,0.2492,6,Birmingham; Liverpool
Regenerating core city,Stable,during,Rent,openness,0.4348,6,Birmingham; Liverpool
Regenerating core city,Stable,during,Rent,reach_km,111.0793,6,Birmingham; Liverpool
Regenerating core city,Stable,during,Rent,hhi,0.0958,6,Birmingham; Liverpool
Regenerating core city,Declining,during,Rent,netflow,-0.3426,2,Aberdeen; Dundee
Regenerating core city,Declining,during,Rent,leaving,0.5044,2,Aberdeen; Dundee
Regenerating core city,Declining,during,Rent,openness,0.605,2,Aberdeen; Dundee
Regenerating core city,Declining,during,Rent,reach_km,256.1623,2,Aberdeen; Dundee
Regenerating core city,Declining,during,Rent,hhi,0.15,2,Aberdeen; Dundee
Knowledge & professional-service hub,Growing,during,Rent,netflow,-0.0125,24,Slough and Heathrow; Cambridge
Knowledge & professional-service hub,Growing,during,Rent,leaving,0.4521,24,Slough and Heathrow; Cambridge
Knowledge & professional-service hub,Growing,during,Rent,openness,0.6251,24,Slough and Heathrow; Cambridge
Knowledge & professional-service hub,Growing,during,Rent,reach_km,96.3281,24,Slough and Heathrow; Cambridge
Knowledge & professional-service hub,Growing,during,Rent,hhi,0.1251,24,Slough and Heathrow; Cambridge
Knowledge & professional-service hub,Stable,during,Rent,netflow,-0.0238,9,Southampton; Guildford and Aldershot
Knowledge & professional-service hub,Stable,during,Rent,leaving,0.4132,9,Southampton; Guildford and Aldershot
Knowledge & professional-service hub,Stable,during,Rent,openness,0.5893,9,Southampton; Guildford and Aldershot
Knowledge & professional-service hub,Stable,during,Rent,reach_km,90.9481,9,Southampton; Guildford and Aldershot
Knowledge & professional-service hub,Stable,during,Rent,hhi,0.0937,9,Southampton; Guildford and Aldershot
Knowledge & professional-service hub,Declining,during,Rent,netflow,0.012,4,York; Halifax
Knowledge & professional-service hub,Declining,during,Rent,leaving,0.4625,4,York; Halifax
Knowledge & professional-service hub,Declining,during,Rent,openness,0.6477,4,York; Halifax
Knowledge & professional-service hub,Declining,during,Rent,reach_km,87.3224,4,York; Halifax
Knowledge & professional-service hub,Declining,during,Rent,hhi,0.1259,4,York; Halifax
Diversified medium-sized town,Growing,during,Rent,netflow,0.0035,6,Medway; Northampton
Diversified medium-sized town,Growing,during,Rent,leaving,0.3708,6,Medway; Northampton
Diversified medium-sized town,Growing,during,Rent,openness,0.5432,6,Medway; Northampton
Diversified medium-sized town,Growing,during,Rent,reach_km,97.9628,6,Medway; Northampton
Diversified medium-sized town,Growing,during,Rent,hhi,0.0812,6,Medway; Northampton
Diversified medium-sized town,Stable,during,Rent,netflow,0.0644,12,Warrington and Wigan; Southend
Diversified medium-sized town,Stable,during,Rent,leaving,0.3424,12,Warrington and Wigan; Southend
Diversified medium-sized town,Stable,during,Rent,openness,0.5362,12,Warrington and Wigan; Southend
Diversified medium-sized town,Stable,during,Rent,reach_km,109.4537,12,Warrington and Wigan; Southend
Diversified medium-sized town,Stable,during,Rent,hhi,0.1259,12,Warrington and Wigan; Southend
Diversified medium-sized town,Declining,during,Rent,netflow,-0.0887,10,Portsmouth; Birkenhead
Diversified medium-sized town,Declining,during,Rent,leaving,0.3534,10,Portsmouth; Birkenhead
Diversified medium-sized town,Declining,during,Rent,openness,0.5317,10,Portsmouth; Birkenhead
Diversified medium-sized town,Declining,during,Rent,reach_km,103.0835,10,Portsmouth; Birkenhead
Diversified medium-sized town,Declining,during,Rent,hhi,0.1298,10,Portsmouth; Birkenhead
Manufacturing & post-industrial town,Growing,during,Rent,netflow,-0.0202,13,Leicester; Coventry
Manufacturing & post-industrial town,Growing,during,Rent,leaving,0.3787,13,Leicester; Coventry
Manufacturing & post-industrial town,Growing,during,Rent,openness,0.5574,13,Leicester; Coventry
Manufacturing & post-industrial town,Growing,during,Rent,reach_km,80.9079,13,Leicester; Coventry
Manufacturing & post-industrial town,Growing,during,Rent,hhi,0.1065,13,Leicester; Coventry
Manufacturing & post-industrial town,Stable,during,Rent,netflow,-0.0042,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Stable,during,Rent,leaving,0.3613,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Stable,during,Rent,openness,0.5437,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Stable,during,Rent,reach_km,88.8239,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Stable,during,Rent,hhi,0.1001,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Declining,during,Rent,netflow,-0.0864,15,Stoke-on-Trent; Durham and Bishop Auckland
Manufacturing & post-industrial town,Declining,during,Rent,leaving,0.4165,15,Stoke-on-Trent; Durham and Bishop Auckland
Manufacturing & post-industrial town,Declining,during,Rent,openness,0.5885,15,Stoke-on-Trent; Durham and Bishop Auckland
Manufacturing & post-industrial town,Declining,during,Rent,reach_km,104.2914,15,Stoke-on-Trent; Durham and Bishop Auckland
Manufacturing & post-industrial town,Declining,during,Rent,hhi,0.1018,15,Stoke-on-Trent; Durham and Bishop Auckland
Coastal / amenity & retirement,Growing,during,Rent,netflow,-0.136,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,during,Rent,leaving,0.509,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,during,Rent,openness,0.648,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,during,Rent,reach_km,83.2188,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,during,Rent,hhi,0.163,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Stable,during,Rent,netflow,0.0348,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Stable,during,Rent,leaving,0.3071,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Stable,during,Rent,openness,0.4924,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Stable,during,Rent,reach_km,99.5421,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Stable,during,Rent,hhi,0.1099,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Declining,during,Rent,netflow,0.0976,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,during,Rent,leaving,0.311,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,during,Rent,openness,0.5051,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,during,Rent,reach_km,107.4313,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,during,Rent,hhi,0.114,4,Brighton; Hastings
Mixed / smaller towns (function unclassified),Growing,during,Rent,netflow,,0,
Mixed / smaller towns (function unclassified),Growing,during,Rent,leaving,,0,
Mixed / smaller towns (function unclassified),Growing,during,Rent,openness,,0,
Mixed / smaller towns (function unclassified),Growing,during,Rent,reach_km,,0,
Mixed / smaller towns (function unclassified),Growing,during,Rent,hhi,,0,
Mixed / smaller towns (function unclassified),Stable,during,Rent,netflow,-0.2421,1,Livingston
Mixed / smaller towns (function unclassified),Stable,during,Rent,leaving,0.6241,1,Livingston
Mixed / smaller towns (function unclassified),Stable,during,Rent,openness,0.7282,1,Livingston
Mixed / smaller towns (function unclassified),Stable,during,Rent,reach_km,97.9023,1,Livingston
Mixed / smaller towns (function unclassified),Stable,during,Rent,hhi,0.1645,1,Livingston
Mixed / smaller towns (function unclassified),Declining,during,Rent,netflow,-0.1756,15,Motherwell and Airdrie; Kilmarnock and Irvine
Mixed / smaller towns (function unclassified),Declining,during,Rent,leaving,0.4971,15,Motherwell and Airdrie; Kilmarnock and Irvine
Mixed / smaller towns (function unclassified),Declining,during,Rent,openness,0.6416,15,Motherwell and Airdrie; Kilmarnock and Irvine
Mixed / smaller towns (function unclassified),Declining,during,Rent,reach_km,126.6127,15,Motherwell and Airdrie; Kilmarnock and Irvine
Mixed / smaller towns (function unclassified),Declining,during,Rent,hhi,0.2517,15,Motherwell and Airdrie; Kilmarnock and Irvine
Global financial capital,Growing,after,Rent,netflow,-0.1219,1,London
Global financial capital,Growing,after,Rent,leaving,0.1968,1,London
Global financial capital,Growing,after,Rent,openness,0.3043,1,London
Global financial capital,Growing,after,Rent,reach_km,126.9789,1,London
Global financial capital,Growing,after,Rent,hhi,0.0519,1,London
Global financial capital,Stable,after,Rent,netflow,,0,
Global financial capital,Stable,after,Rent,leaving,,0,
Global financial capital,Stable,after,Rent,openness,,0,
Global financial capital,Stable,after,Rent,reach_km,,0,
Global financial capital,Stable,after,Rent,hhi,,0,
Global financial capital,Declining,after,Rent,netflow,,0,
Global financial capital,Declining,after,Rent,leaving,,0,
Global financial capital,Declining,after,Rent,openness,,0,
Global financial capital,Declining,after,Rent,reach_km,,0,
Global financial capital,Declining,after,Rent,hhi,,0,
Devolved/administrative capital,Growing,after,Rent,netflow,0.2198,1,Edinburgh
Devolved/administrative capital,Growing,after,Rent,leaving,0.2194,1,Edinburgh
Devolved/administrative capital,Growing,after,Rent,openness,0.4194,1,Edinburgh
Devolved/administrative capital,Growing,after,Rent,reach_km,213.5646,1,Edinburgh
Devolved/administrative capital,Growing,after,Rent,hhi,0.1312,1,Edinburgh
Devolved/administrative capital,Stable,after,Rent,netflow,0.091,1,Cardiff
Devolved/administrative capital,Stable,after,Rent,leaving,0.2308,1,Cardiff
Devolved/administrative capital,Stable,after,Rent,openness,0.3978,1,Cardiff
Devolved/administrative capital,Stable,after,Rent,reach_km,140.0721,1,Cardiff
Devolved/administrative capital,Stable,after,Rent,hhi,0.061,1,Cardiff
Devolved/administrative capital,Declining,after,Rent,netflow,,0,
Devolved/administrative capital,Declining,after,Rent,leaving,,0,
Devolved/administrative capital,Declining,after,Rent,openness,,0,
Devolved/administrative capital,Declining,after,Rent,reach_km,,0,
Devolved/administrative capital,Declining,after,Rent,hhi,,0,
Regenerating core city,Growing,after,Rent,netflow,0.1825,3,Manchester; Bristol
Regenerating core city,Growing,after,Rent,leaving,0.206,3,Manchester; Bristol
Regenerating core city,Growing,after,Rent,openness,0.3951,3,Manchester; Bristol
Regenerating core city,Growing,after,Rent,reach_km,113.5202,3,Manchester; Bristol
Regenerating core city,Growing,after,Rent,hhi,0.0666,3,Manchester; Bristol
Regenerating core city,Stable,after,Rent,netflow,0.0581,6,Birmingham; Glasgow
Regenerating core city,Stable,after,Rent,leaving,0.2673,6,Birmingham; Glasgow
Regenerating core city,Stable,after,Rent,openness,0.4388,6,Birmingham; Glasgow
Regenerating core city,Stable,after,Rent,reach_km,116.1199,6,Birmingham; Glasgow
Regenerating core city,Stable,after,Rent,hhi,0.0973,6,Birmingham; Glasgow
Regenerating core city,Declining,after,Rent,netflow,-0.4054,2,Aberdeen; Dundee
Regenerating core city,Declining,after,Rent,leaving,0.5508,2,Aberdeen; Dundee
Regenerating core city,Declining,after,Rent,openness,0.6381,2,Aberdeen; Dundee
Regenerating core city,Declining,after,Rent,reach_km,258.4059,2,Aberdeen; Dundee
Regenerating core city,Declining,after,Rent,hhi,0.1366,2,Aberdeen; Dundee
Knowledge & professional-service hub,Growing,after,Rent,netflow,-0.0035,24,Slough and Heathrow; Cambridge
Knowledge & professional-service hub,Growing,after,Rent,leaving,0.4557,24,Slough and Heathrow; Cambridge
Knowledge & professional-service hub,Growing,after,Rent,openness,0.6315,24,Slough and Heathrow; Cambridge
Knowledge & professional-service hub,Growing,after,Rent,reach_km,97.057,24,Slough and Heathrow; Cambridge
Knowledge & professional-service hub,Growing,after,Rent,hhi,0.1273,24,Slough and Heathrow; Cambridge
Knowledge & professional-service hub,Stable,after,Rent,netflow,-0.0256,9,Southampton; Guildford and Aldershot
Knowledge & professional-service hub,Stable,after,Rent,leaving,0.4153,9,Southampton; Guildford and Aldershot
Knowledge & professional-service hub,Stable,after,Rent,openness,0.5931,9,Southampton; Guildford and Aldershot
Knowledge & professional-service hub,Stable,after,Rent,reach_km,92.8698,9,Southampton; Guildford and Aldershot
Knowledge & professional-service hub,Stable,after,Rent,hhi,0.0924,9,Southampton; Guildford and Aldershot
Knowledge & professional-service hub,Declining,after,Rent,netflow,0.0302,4,York; Halifax
Knowledge & professional-service hub,Declining,after,Rent,leaving,0.4545,4,York; Halifax
Knowledge & professional-service hub,Declining,after,Rent,openness,0.6438,4,York; Halifax
Knowledge & professional-service hub,Declining,after,Rent,reach_km,91.4701,4,York; Halifax
Knowledge & professional-service hub,Declining,after,Rent,hhi,0.1226,4,York; Halifax
Diversified medium-sized town,Growing,after,Rent,netflow,-0.0052,6,Medway; Northampton
Diversified medium-sized town,Growing,after,Rent,leaving,0.3863,6,Medway; Northampton
Diversified medium-sized town,Growing,after,Rent,openness,0.559,6,Medway; Northampton
Diversified medium-sized town,Growing,after,Rent,reach_km,102.2959,6,Medway; Northampton
Diversified medium-sized town,Growing,after,Rent,hhi,0.0788,6,Medway; Northampton
Diversified medium-sized town,Stable,after,Rent,netflow,0.0898,12,Warrington and Wigan; Southend
Diversified medium-sized town,Stable,after,Rent,leaving,0.3479,12,Warrington and Wigan; Southend
Diversified medium-sized town,Stable,after,Rent,openness,0.5501,12,Warrington and Wigan; Southend
Diversified medium-sized town,Stable,after,Rent,reach_km,111.3991,12,Warrington and Wigan; Southend
Diversified medium-sized town,Stable,after,Rent,hhi,0.1254,12,Warrington and Wigan; Southend
Diversified medium-sized town,Declining,after,Rent,netflow,-0.0906,10,Portsmouth; Birkenhead
Diversified medium-sized town,Declining,after,Rent,leaving,0.3692,10,Portsmouth; Birkenhead
Diversified medium-sized town,Declining,after,Rent,openness,0.5437,10,Portsmouth; Birkenhead
Diversified medium-sized town,Declining,after,Rent,reach_km,104.6858,10,Portsmouth; Birkenhead
Diversified medium-sized town,Declining,after,Rent,hhi,0.1285,10,Portsmouth; Birkenhead
Manufacturing & post-industrial town,Growing,after,Rent,netflow,-0.0121,13,Leicester; Coventry
Manufacturing & post-industrial town,Growing,after,Rent,leaving,0.39,13,Leicester; Coventry
Manufacturing & post-industrial town,Growing,after,Rent,openness,0.5728,13,Leicester; Coventry
Manufacturing & post-industrial town,Growing,after,Rent,reach_km,84.1636,13,Leicester; Coventry
Manufacturing & post-industrial town,Growing,after,Rent,hhi,0.1024,13,Leicester; Coventry
Manufacturing & post-industrial town,Stable,after,Rent,netflow,-0.0255,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Stable,after,Rent,leaving,0.3689,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Stable,after,Rent,openness,0.551,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Stable,after,Rent,reach_km,91.724,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Stable,after,Rent,hhi,0.0964,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Declining,after,Rent,netflow,-0.0757,15,Stoke-on-Trent; Durham and Bishop Auckland
Manufacturing & post-industrial town,Declining,after,Rent,leaving,0.4262,15,Stoke-on-Trent; Durham and Bishop Auckland
Manufacturing & post-industrial town,Declining,after,Rent,openness,0.5968,15,Stoke-on-Trent; Durham and Bishop Auckland
Manufacturing & post-industrial town,Declining,after,Rent,reach_km,109.1935,15,Stoke-on-Trent; Durham and Bishop Auckland
Manufacturing & post-industrial town,Declining,after,Rent,hhi,0.0982,15,Stoke-on-Trent; Durham and Bishop Auckland
Coastal / amenity & retirement,Growing,after,Rent,netflow,-0.0236,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,after,Rent,leaving,0.4677,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,after,Rent,openness,0.6323,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,after,Rent,reach_km,89.3691,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,after,Rent,hhi,0.1485,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Stable,after,Rent,netflow,0.0145,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Stable,after,Rent,leaving,0.3135,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Stable,after,Rent,openness,0.4956,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Stable,after,Rent,reach_km,105.9258,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Stable,after,Rent,hhi,0.1059,6,Bournemouth; Blackpool
Coastal / amenity & retirement,Declining,after,Rent,netflow,0.02,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,after,Rent,leaving,0.3444,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,after,Rent,openness,0.5182,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,after,Rent,reach_km,115.1675,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,after,Rent,hhi,0.114,4,Brighton; Hastings
Mixed / smaller towns (function unclassified),Growing,after,Rent,netflow,,0,
Mixed / smaller towns (function unclassified),Growing,after,Rent,leaving,,0,
Mixed / smaller towns (function unclassified),Growing,after,Rent,openness,,0,
Mixed / smaller towns (function unclassified),Growing,after,Rent,reach_km,,0,
Mixed / smaller towns (function unclassified),Growing,after,Rent,hhi,,0,
Mixed / smaller towns (function unclassified),Stable,after,Rent,netflow,0.0339,1,Livingston
Mixed / smaller towns (function unclassified),Stable,after,Rent,leaving,0.6124,1,Livingston
Mixed / smaller towns (function unclassified),Stable,after,Rent,openness,0.7661,1,Livingston
Mixed / smaller towns (function unclassified),Stable,after,Rent,reach_km,84.744,1,Livingston
Mixed / smaller towns (function unclassified),Stable,after,Rent,hhi,0.2081,1,Livingston
Mixed / smaller towns (function unclassified),Declining,after,Rent,netflow,-0.112,15,Motherwell and Airdrie; Falkirk and Stirling
Mixed / smaller towns (function unclassified),Declining,after,Rent,leaving,0.5519,15,Motherwell and Airdrie; Falkirk and Stirling
Mixed / smaller towns (function unclassified),Declining,after,Rent,openness,0.698,15,Motherwell and Airdrie; Falkirk and Stirling
Mixed / smaller towns (function unclassified),Declining,after,Rent,reach_km,127.0739,15,Motherwell and Airdrie; Falkirk and Stirling
Mixed / smaller towns (function unclassified),Declining,after,Rent,hhi,0.2567,15,Motherwell and Airdrie; Falkirk and Stirling
