unit_cd,year,market,direction,rank,partner_cd,flow,share
E30000054,2010,Rent,to,10,E30000175,41,0.0213
E30000061,2010,Rent,from,1,E30000204,443,0.2196
E30000061,2010,Rent,from,2,E30000234,414,0.2053
E30000061,2010,Rent,from,3,E30000281,105,0.0521
E30000061,2010,Rent,from,4,E30000266,84,0.0416
E30000061,2010,Rent,from,5,E30000242,70,0.0347
E30000061,2010,Rent,from,6,E30000196,54,0.0268
E30000061,2010,Rent,from,7,E30000208,42,0.0208
E30000061,2010,Rent,from,8,E30000179,40,0.0198
E30000061,2010,Rent,from,9,E30000191,37,0.0183
E30000061,2010,Rent,from,10,E30000230,36,0.0178
E30000061,2010,Rent,to,1,E30000204,439,0.2461
E30000061,2010,Rent,to,2,E30000234,156,0.0874
E30000061,2010,Rent,to,3,E30000281,93,0.0521
E30000061,2010,Rent,to,4,E30000242,73,0.0409
E30000061,2010,Rent,to,5,E30000160,71,0.0398
E30000061,2010,Rent,to,6,E30000179,69,0.0387
E30000061,2010,Rent,to,7,E30000222,65,0.0364
E30000061,2010,Rent,to,8,E30000248,52,0.0291
E30000061,2010,Rent,to,9,E30000237,47,0.0263
E30000061,2010,Rent,to,10,E30000210,46,0.0258
E30000070,2010,Rent,from,1,E30000254,185,0.1049
E30000070,2010,Rent,from,2,E30000234,167,0.0947
E30000070,2010,Rent,from,3,E30000267,126,0.0714
E30000070,2010,Rent,from,4,E30000209,90,0.051
E30000070,2010,Rent,from,5,E30000212,81,0.0459
E30000070,2010,Rent,from,6,E30000175,76,0.0431
E30000070,2010,Rent,from,7,E30000239,71,0.0402
E30000070,2010,Rent,from,8,E30000244,55,0.0312
E30000070,2010,Rent,from,9,E30000237,53,0.03
E30000070,2010,Rent,from,10,E30000266,47,0.0266
E30000070,2010,Rent,to,1,E30000254,99,0.0995
E30000070,2010,Rent,to,2,E30000267,95,0.0955
E30000070,2010,Rent,to,3,E30000234,83,0.0834
E30000070,2010,Rent,to,4,E30000175,60,0.0603
E30000070,2010,Rent,to,5,E30000247,59,0.0593
E30000070,2010,Rent,to,6,E30000179,58,0.0583
E30000070,2010,Rent,to,7,E30000256,33,0.0332
E30000070,2010,Rent,to,8,E30000257,33,0.0332
E30000070,2010,Rent,to,9,E30000249,24,0.0241
E30000070,2010,Rent,to,10,E30000293,24,0.0241
E30000076,2010,Rent,from,1,E30000163,303,0.1636
E30000076,2010,Rent,from,2,E30000171,231,0.1247
E30000076,2010,Rent,from,3,E30000239,207,0.1118
E30000076,2010,Rent,from,4,E30000255,93,0.0502
E30000076,2010,Rent,from,5,E30000234,85,0.0459
E30000076,2010,Rent,from,6,E30000018,57,0.0308
E30000076,2010,Rent,from,7,E30000233,55,0.0297
E30000076,2010,Rent,from,8,E30000284,52,0.0281
E30000076,2010,Rent,from,9,E30000186,47,0.0254
E30000076,2010,Rent,from,10,K01000010,39,0.0211
E30000076,2010,Rent,to,1,E30000239,184,0.1338
E30000076,2010,Rent,to,2,E30000171,163,0.1185
E30000076,2010,Rent,to,3,E30000163,137,0.0996
E30000076,2010,Rent,to,4,E30000234,124,0.0902
E30000076,2010,Rent,to,5,E30000255,97,0.0705
E30000076,2010,Rent,to,6,E30000256,43,0.0313
E30000076,2010,Rent,to,7,E30000261,32,0.0233
E30000076,2010,Rent,to,8,E30000233,30,0.0218
E30000076,2010,Rent,to,9,W22000024,30,0.0218
E30000076,2010,Rent,to,10,E30000284,29,0.0211
E30000093,2010,Rent,from,1,E30000203,499,0.1516
E30000093,2010,Rent,from,2,E30000214,479,0.1455
E30000093,2010,Rent,from,3,E30000199,269,0.0817
E30000093,2010,Rent,from,4,E30000215,217,0.0659
E30000093,2010,Rent,from,5,E30000234,149,0.0453
E30000093,2010,Rent,from,6,E30000239,139,0.0422
E30000093,2010,Rent,from,7,E30000245,114,0.0346
E30000093,2010,Rent,from,8,W22000032,92,0.028
E30000093,2010,Rent,from,9,E30000261,80,0.0243
E30000093,2010,Rent,from,10,E30000004,79,0.024
E30000093,2010,Rent,to,1,E30000214,425,0.1129
E30000093,2010,Rent,to,2,E30000203,407,0.1081
E30000093,2010,Rent,to,3,E30000199,350,0.0929
E30000093,2010,Rent,to,4,E30000245,299,0.0794
E30000093,2010,Rent,to,5,E30000234,282,0.0749
E30000093,2010,Rent,to,6,E30000215,184,0.0489
E30000093,2010,Rent,to,7,E30000229,162,0.043
E30000093,2010,Rent,to,8,E30000294,140,0.0372
E30000093,2010,Rent,to,9,E30000275,134,0.0356
E30000093,2010,Rent,to,10,E30000239,108,0.0287
E30000108,2010,Rent,from,1,E30000287,963,0.2641
E30000108,2010,Rent,from,2,E30000234,295,0.0809
E30000108,2010,Rent,from,3,E30000054,243,0.0666
E30000108,2010,Rent,from,4,E30000124,234,0.0642
E30000108,2010,Rent,from,5,E30000230,197,0.054
E30000108,2010,Rent,from,6,E30000224,161,0.0442
E30000108,2010,Rent,from,7,E30000221,155,0.0425
E30000108,2010,Rent,from,8,E30000186,86,0.0236
E30000108,2010,Rent,from,9,E30000225,77,0.0211
E30000108,2010,Rent,from,10,E30000231,61,0.0167
E30000108,2010,Rent,to,1,E30000287,1033,0.2499
E30000108,2010,Rent,to,2,E30000054,410,0.0992
E30000108,2010,Rent,to,3,E30000234,390,0.0944
E30000108,2010,Rent,to,4,E30000224,184,0.0445
E30000108,2010,Rent,to,5,E30000231,169,0.0409
E30000108,2010,Rent,to,6,E30000221,136,0.0329
E30000108,2010,Rent,to,7,E30000230,100,0.0242
E30000108,2010,Rent,to,8,E30000204,95,0.023
E30000108,2010,Rent,to,9,E30000124,91,0.022
E30000108,2010,Rent,to,10,E30000186,87,0.0211
E30000124,2010,Rent,from,1,E30000287,93,0.1232
E30000124,2010,Rent,from,2,E30000108,91,0.1205
E30000124,2010,Rent,from,3,E30000225,73,0.0967
E30000124,2010,Rent,from,4,E30000174,66,0.0874
E30000124,2010,Rent,from,5,E30000234,66,0.0874
E30000124,2010,Rent,from,6,E30000054,39,0.0517
E30000124,2010,Rent,from,7,E30000231,37,0.049
E30000124,2010,Rent,from,8,E30000247,23,0.0305
E30000124,2010,Rent,from,9,E30000264,19,0.0252
E30000124,2010,Rent,from,10,E30000192,14,0.0185
E30000124,2010,Rent,to,1,E30000108,234,0.1679
E30000124,2010,Rent,to,2,E30000174,123,0.0882
E30000124,2010,Rent,to,3,E30000287,94,0.0674
E30000124,2010,Rent,to,4,E30000054,89,0.0638
E30000124,2010,Rent,to,5,E30000225,89,0.0638
E30000124,2010,Rent,to,6,E30000231,86,0.0617
E30000124,2010,Rent,to,7,E30000248,42,0.0301
E30000124,2010,Rent,to,8,E30000234,42,0.0301
E30000124,2010,Rent,to,9,E30000061,33,0.0237
E30000124,2010,Rent,to,10,E30000240,27,0.0194
E30000135,2010,Rent,from,1,E30000248,798,0.2964
E30000135,2010,Rent,from,2,E30000225,297,0.1103
E30000135,2010,Rent,from,3,E30000184,242,0.0899
E30000135,2010,Rent,from,4,E30000198,218,0.081
E30000135,2010,Rent,from,5,E30000222,166,0.0617
E30000135,2010,Rent,from,6,E30000234,90,0.0334
E30000135,2010,Rent,from,7,E30000186,63,0.0234
E30000135,2010,Rent,from,8,E30000276,42,0.0156
E30000135,2010,Rent,from,9,E30000268,40,0.0149
E30000135,2010,Rent,from,10,E30000192,39,0.0145
E30000135,2010,Rent,to,1,E30000248,1141,0.4375
E30000135,2010,Rent,to,2,E30000225,220,0.0844
E30000135,2010,Rent,to,3,E30000184,208,0.0798
E30000135,2010,Rent,to,4,E30000198,128,0.0491
E30000135,2010,Rent,to,5,E30000222,114,0.0437
E30000135,2010,Rent,to,6,E30000186,61,0.0234
E30000135,2010,Rent,to,7,E30000272,57,0.0219
E30000135,2010,Rent,to,8,E30000234,51,0.0196
E30000135,2010,Rent,to,9,E30000267,41,0.0157
E30000135,2010,Rent,to,10,E30000218,39,0.015
E30000159,2010,Rent,from,1,E30000267,522,0.2884
E30000159,2010,Rent,from,2,E30000280,321,0.1773
E30000159,2010,Rent,from,3,E30000254,150,0.0829
E30000159,2010,Rent,from,4,E30000164,120,0.0663
E30000159,2010,Rent,from,5,E30000234,55,0.0304
E30000159,2010,Rent,from,6,E30000212,50,0.0276
E30000159,2010,Rent,from,7,E30000250,44,0.0243
E30000159,2010,Rent,from,8,E30000244,44,0.0243
E30000159,2010,Rent,from,9,E30000046,42,0.0232
E30000159,2010,Rent,from,10,E30000175,27,0.0149
E30000159,2010,Rent,to,1,E30000267,650,0.3298
E30000159,2010,Rent,to,2,E30000280,319,0.1618
E30000159,2010,Rent,to,3,E30000164,247,0.1253
E30000159,2010,Rent,to,4,E30000175,54,0.0274
E30000159,2010,Rent,to,5,E30000293,48,0.0244
E30000159,2010,Rent,to,6,E30000254,36,0.0183
E30000159,2010,Rent,to,7,E30000046,35,0.0178
E30000159,2010,Rent,to,8,E30000234,33,0.0167
