unit_cd,unit_nm,year,market,index,value
E30000294,York,2010,Rent,enq,8136.0
K01000005,Cinderford and Ross-on-Wye,2010,Rent,enq,1797.0
K01000010,Carlisle,2010,Rent,enq,4454.0
K01000011,Chester,2010,Rent,enq,20570.0
K01000013,Newport,2010,Rent,enq,8680.0
S22000013,Western Isles,2010,Rent,enq,114.0
S22000035,Orkney Islands,2010,Rent,enq,84.0
S22000039,Shetland Islands,2010,Rent,enq,113.0
S22000047,Aberdeen,2010,Rent,enq,3177.0
S22000051,Ayr,2010,Rent,enq,2695.0
S22000054,Dumbarton and Helensburgh,2010,Rent,enq,2742.0
S22000055,Dumfries,2010,Rent,enq,798.0
S22000056,Dundee,2010,Rent,enq,3289.0
S22000057,Dunfermline and Kirkcaldy,2010,Rent,enq,5310.0
S22000059,Edinburgh,2010,Rent,enq,5436.0
S22000060,Elgin,2010,Rent,enq,463.0
S22000061,Falkirk and Stirling,2010,Rent,enq,5182.0
S22000063,Galashiels and Peebles,2010,Rent,enq,1060.0
S22000065,Glasgow,2010,Rent,enq,21586.0
S22000068,Inverness,2010,Rent,enq,1344.0
S22000069,Kilmarnock and Irvine,2010,Rent,enq,7201.0
S22000070,Livingston,2010,Rent,enq,2798.0
S22000071,Motherwell and Airdrie,2010,Rent,enq,12375.0
S22000074,Perth,2010,Rent,enq,1048.0
S22000085,Greenock,2010,Rent,enq,1683.0
W22000003,Bridgend,2010,Rent,enq,1891.0
W22000009,Haverfordwest and Milford Haven,2010,Rent,enq,924.0
W22000015,Newtown and Welshpool,2010,Rent,enq,1079.0
W22000021,Aberystwyth,2010,Rent,enq,650.0
W22000022,Bangor and Holyhead,2010,Rent,enq,2290.0
W22000024,Cardiff,2010,Rent,enq,25351.0
W22000026,Colwyn Bay,2010,Rent,enq,3769.0
W22000028,Llanelli,2010,Rent,enq,1260.0
W22000029,Merthyr Tydfil,2010,Rent,enq,2315.0
W22000031,Rhyl,2010,Rent,enq,3065.0
W22000032,Swansea,2010,Rent,enq,4079.0
W22000034,Wrexham,2010,Rent,enq,3907.0
E30000004,Barnsley,2011,Rent,enq,9213.0
E30000018,Bradford,2011,Rent,enq,16125.0
E30000029,Halifax,2011,Rent,enq,7987.0
E30000046,Dorchester and Weymouth,2011,Rent,enq,10933.0
E30000054,Grantham,2011,Rent,enq,4415.0
E30000061,Hastings,2011,Rent,enq,4997.0
E30000070,Isle of Wight,2011,Rent,enq,3616.0
E30000076,Lancaster and Morecambe,2011,Rent,enq,6217.0
E30000093,Middlesbrough and Stockton,2011,Rent,enq,20412.0
E30000108,Peterborough,2011,Rent,enq,9642.0
E30000124,Spalding,2011,Rent,enq,2484.0
E30000135,Thetford and Mildenhall,2011,Rent,enq,4447.0
E30000159,Andover,2011,Rent,enq,3148.0
E30000160,Ashford,2011,Rent,enq,3725.0
E30000162,Barnstaple,2011,Rent,enq,1190.0
E30000163,Barrow-in-Furness,2011,Rent,enq,3949.0
E30000164,Basingstoke,2011,Rent,enq,9763.0
E30000165,Bath,2011,Rent,enq,6927.0
E30000166,Bedford,2011,Rent,enq,6034.0
E30000167,Bideford,2011,Rent,enq,1065.0
E30000168,Birkenhead,2011,Rent,enq,11391.0
E30000169,Birmingham,2011,Rent,enq,56608.0
E30000170,Blackburn,2011,Rent,enq,9064.0
E30000171,Blackpool,2011,Rent,enq,14931.0
E30000173,Blyth and Ashington,2011,Rent,enq,5002.0
E30000174,Boston,2011,Rent,enq,1993.0
E30000175,Bournemouth,2011,Rent,enq,27420.0
